timestamp,open,high,low,close
1741839600000,2944.408,2944.945,2944.408,2944.615
1741839660000,2944.595,2945.045,2944.445,2944.525
1741839720000,2944.515,2944.525,2943.995,2944.355
1741839780000,2944.325,2944.605,2944.295,2944.545
1741839840000,2944.455,2944.745,2944.455,2944.485
1741839900000,2944.455,2944.455,2944.185,2944.225
1741839960000,2944.255,2944.635,2944.255,2944.315
1741840020000,2944.295,2944.505,2944.075,2944.205
1741840080000,2944.165,2944.475,2944.155,2944.375
1741840140000,2944.385,2944.415,2944.265,2944.305
1741840200000,2944.285,2944.285,2943.575,2943.735
1741840260000,2943.745,2943.745,2943.335,2943.505
1741840320000,2943.425,2943.745,2943.385,2943.525
1741840380000,2943.445,2943.975,2943.335,2943.885
1741840440000,2943.855,2943.885,2943.625,2943.625
1741840500000,2943.575,2944.305,2943.535,2944.305
1741840560000,2944.305,2944.705,2944.155,2944.425
1741840620000,2944.405,2944.885,2943.958,2944.645
1741840680000,2944.645,2944.805,2943.845,2943.875
1741840740000,2943.875,2943.895,2943.565,2943.565
1741840800000,2943.648,2944.085,2943.345,2943.955
1741840860000,2943.935,2944.015,2943.505,2943.675
1741840920000,2943.689,2943.808,2943.465,2943.475
1741840980000,2943.458,2943.865,2943.365,2943.475
1741841040000,2943.498,2944.355,2943.465,2944.345
1741841100000,2944.325,2944.785,2944.168,2944.325
1741841160000,2944.285,2944.825,2944.278,2944.635
1741841220000,2944.615,2944.725,2944.345,2944.595
1741841280000,2944.555,2944.725,2944.485,2944.585
1741841340000,2944.595,2944.785,2944.205,2944.715
1741841400000,2944.735,2944.895,2944.375,2944.595
1741841460000,2944.585,2944.745,2944.445,2944.725
1741841520000,2944.735,2944.745,2944.445,2944.655
1741841580000,2944.705,2944.925,2944.495,2944.785
1741841640000,2944.805,2944.885,2944.555,2944.615
1741841700000,2944.905,2945.035,2944.725,2944.835
1741841760000,2944.855,2944.885,2944.505,2944.625
1741841820000,2944.595,2944.695,2944.268,2944.355
1741841880000,2944.325,2944.635,2944.278,2944.605
1741841940000,2944.625,2944.715,2944.445,2944.455
1741842000000,2944.495,2944.855,2944.368,2944.785
1741842060000,2944.815,2944.815,2944.488,2944.695
