timestamp,open,high,low,close
1741799520000,70.94,70.955,70.935,70.955
1741799580000,70.96,71.01,70.96,70.975
1741799640000,70.98,70.995,70.965,70.995
1741799700000,71,71.01,70.985,71.005
1741799760000,70.995,70.995,70.975,70.975
1741799820000,70.98,70.98,70.945,70.965
1741799880000,70.96,70.985,70.885,70.905
1741799940000,70.9,70.9,70.875,70.895
1741800000000,70.9,70.95,70.895,70.95
1741800060000,70.955,70.975,70.945,70.965
1741800120000,70.97,70.975,70.955,70.955
1741800180000,70.95,70.95,70.9,70.9
1741800240000,70.895,70.905,70.885,70.895
1741800300000,70.89,70.9,70.875,70.89
1741800360000,70.895,70.935,70.895,70.915
1741800420000,70.91,70.915,70.89,70.9
1741800480000,70.905,70.925,70.895,70.915
1741800540000,70.925,70.925,70.905,70.905
1741800600000,70.91,70.915,70.89,70.915
1741800660000,70.92,70.95,70.915,70.945
1741800720000,70.94,70.945,70.88,70.885
1741800780000,70.895,70.895,70.875,70.895
1741800840000,70.89,70.925,70.885,70.895
1741800900000,70.905,70.935,70.895,70.935
1741800960000,70.925,70.935,70.915,70.935
1741801020000,70.945,70.965,70.94,70.955
1741801080000,70.97,70.975,70.955,70.975
1741801140000,70.985,70.985,70.965,70.98
1741801200000,70.985,70.995,70.98,70.995
1741801260000,71,71.015,70.935,70.945
1741801320000,70.935,70.945,70.915,70.945
1741801380000,70.955,70.955,70.935,70.955
1741801440000,70.945,70.95,70.92,70.93
1741801500000,70.935,70.975,70.925,70.975
1741801560000,70.97,70.985,70.96,70.975
1741801620000,70.965,70.965,70.935,70.94
1741801680000,70.935,70.965,70.935,70.94
1741801740000,70.945,70.955,70.93,70.93
1741801800000,70.935,70.945,70.925,70.945
1741801860000,70.95,70.975,70.945,70.97
1741801920000,70.975,70.975,70.925,70.925
1741801980000,70.93,70.945,70.915,70.925
1741802040000,70.915,70.915,70.895,70.895
1741802100000,70.89,70.915,70.885,70.91
1741802160000,70.915,70.92,70.875,70.875
1741802220000,70.885,70.905,70.875,70.895
1741802280000,70.89,70.9,70.885,70.895
1741802340000,70.9,70.905,70.875,70.875
1741802400000,70.865,70.92,70.865,70.915
1741802460000,70.92,70.925,70.885,70.885
1741802520000,70.89,70.945,70.89,70.935
1741802580000,70.945,70.955,70.935,70.935
1741802640000,70.94,70.955,70.915,70.93
1741802700000,70.925,70.93,70.915,70.925
1741802760000,70.92,70.925,70.89,70.89
1741802820000,70.895,70.905,70.875,70.895
1741802880000,70.91,70.915,70.895,70.91
1741802940000,70.915,70.915,70.89,70.895
1741803000000,70.9,70.94,70.895,70.935
1741803060000,70.94,70.965,70.935,70.95
1741803120000,70.945,70.955,70.905,70.945
1741803180000,70.94,70.965,70.925,70.955
1741803240000,70.96,70.96,70.92,70.925
1741803300000,70.92,70.94,70.92,70.94
1741803360000,70.945,70.945,70.91,70.935
1741803420000,70.94,70.975,70.94,70.945
1741803480000,70.95,70.95,70.915,70.92
1741803540000,70.925,70.925,70.885,70.885
1741803600000,70.895,70.92,70.895,70.895
1741803660000,70.905,70.915,70.895,70.895
1741803720000,70.9,70.93,70.895,70.915
1741803780000,70.93,70.93,70.87,70.885
1741803840000,70.88,70.895,70.875,70.89
1741803900000,70.885,70.915,70.885,70.9
1741803960000,70.895,70.9,70.875,70.885
1741804020000,70.895,70.895,70.865,70.895
1741804080000,70.885,70.935,70.885,70.925
1741804140000,70.935,70.955,70.935,70.945
1741804200000,70.95,70.965,70.935,70.965
1741804260000,70.975,70.995,70.975,70.995
1741804320000,70.99,71.005,70.975,70.975
1741804380000,70.97,70.985,70.955,70.965
1741804440000,70.96,70.965,70.94,70.945
1741804500000,70.94,70.965,70.925,70.965
1741804560000,70.975,70.975,70.95,70.955
1741804620000,70.965,70.975,70.965,70.975
1741804680000,70.985,70.985,70.975,70.975
1741804740000,70.985,70.99,70.975,70.99
1741804800000,70.985,71.015,70.985,71.015
1741804860000,71.025,71.025,71.005,71.01
1741804920000,71.005,71.01,71.005,71.005
1741804980000,71.01,71.01,70.995,70.995
1741805040000,70.985,70.995,70.98,70.98
1741805100000,70.985,70.985,70.975,70.985
1741805160000,70.99,70.995,70.985,70.985
1741805220000,70.975,70.975,70.965,70.975
1741805280000,70.965,70.985,70.965,70.985
1741805340000,70.98,70.985,70.975,70.975
1741805400000,70.985,70.985,70.98,70.985
1741805460000,70.975,70.98,70.975,70.975
1741805520000,70.97,70.985,70.97,70.975
1741805580000,70.97,70.975,70.945,70.945
1741805640000,70.95,70.955,70.945,70.955
1741805700000,70.95,70.955,70.935,70.935
1741805760000,70.94,70.955,70.94,70.955
1741805820000,70.96,70.985,70.96,70.98
1741805880000,70.985,70.99,70.975,70.975
1741805940000,70.965,70.975,70.955,70.97
1741806000000,70.965,70.975,70.965,70.965
1741806060000,70.97,70.97,70.955,70.955
1741806120000,70.965,70.985,70.965,70.975
1741806180000,70.98,70.985,70.975,70.985
1741806240000,70.975,70.985,70.965,70.965
1741806300000,70.955,70.965,70.935,70.935
1741806360000,70.93,70.935,70.915,70.925
1741806420000,70.92,70.92,70.915,70.915
1741806480000,70.925,70.925,70.915,70.925
1741806540000,70.935,70.935,70.925,70.925
1741806600000,70.92,70.925,70.91,70.925
1741806660000,70.92,70.925,70.91,70.925
1741806720000,70.93,70.935,70.915,70.915
1741806780000,70.91,70.92,70.905,70.905
1741806840000,70.91,70.91,70.905,70.905
1741806900000,70.9,70.925,70.895,70.915
1741806960000,70.91,70.915,70.905,70.905
1741807020000,70.9,70.905,70.895,70.9
1741807080000,70.895,70.9,70.885,70.895
1741807140000,70.9,70.9,70.895,70.895
1741807200000,70.905,70.915,70.905,70.915
1741807260000,70.905,70.915,70.89,70.89
1741807320000,70.885,70.895,70.88,70.89
1741807380000,70.885,70.895,70.875,70.875
1741807440000,70.885,70.89,70.88,70.885
1741807500000,70.89,70.89,70.875,70.875
1741807560000,70.88,70.885,70.87,70.875
1741807620000,70.87,70.875,70.845,70.875
1741807680000,70.88,70.89,70.865,70.87
1741807740000,70.865,70.875,70.86,70.87
1741807800000,70.875,70.92,70.87,70.92
1741807860000,70.925,70.94,70.925,70.935
1741807920000,70.925,70.94,70.925,70.935
1741807980000,70.93,70.935,70.93,70.935
1741808040000,70.93,70.935,70.925,70.925
1741808100000,70.93,70.93,70.91,70.925
1741808160000,70.915,70.935,70.915,70.935
1741808220000,70.945,70.965,70.945,70.95
1741808280000,70.955,70.955,70.93,70.93
1741808340000,70.935,70.935,70.905,70.905
1741808400000,70.915,70.93,70.905,70.925
1741808460000,70.92,70.925,70.915,70.915
1741808520000,70.91,70.915,70.9,70.915
1741808580000,70.925,70.935,70.925,70.925
1741808640000,70.93,70.935,70.925,70.925
1741808700000,70.935,70.955,70.935,70.955
1741808760000,70.945,70.945,70.925,70.925
1741808820000,70.935,70.935,70.935,70.935
1741808880000,70.94,70.955,70.94,70.955
1741808940000,70.96,70.97,70.96,70.97
1741809000000,70.965,70.965,70.935,70.95
1741809060000,70.945,70.955,70.945,70.95
1741809120000,70.955,70.955,70.945,70.95
1741809180000,70.955,70.96,70.95,70.96
1741809240000,70.955,70.965,70.935,70.935
1741809300000,70.95,70.965,70.95,70.965
1741809360000,70.96,70.965,70.955,70.955
1741809420000,70.95,70.95,70.945,70.945
1741809480000,70.955,70.96,70.945,70.95
1741809540000,70.945,70.95,70.935,70.945
1741809600000,70.935,70.945,70.935,70.935
1741809660000,70.945,70.95,70.945,70.945
1741809720000,70.94,70.94,70.925,70.93
1741809780000,70.935,70.935,70.93,70.935
