post_id,data_pagina,ora_pagina_pacific,testo,url,timestamp_utc,sequenza,ora_da_id_pacific,data_da_id_pacific,scarto_minuti,verificato
115211918198289404,2025-09-15,23:45,"Today, I have the Great Honor of bringing a $15 Billion Dollar Defamation and Libel Lawsuit against The New York Times, one of the worst and most degenerate newspapers in the History of our Country, becoming a virtual ""mouthpiece"" for the Radical Left Democrat Party. I view it as the single largest illegal Campaign contribution, EVER. Their Endorsement of Kamala Harris was actually put dead center on the front page of The New York Times, something heretofore UNHEARD OF! The ""Times"" has engaged in a decades long method of lying about your Favorite President (ME!), my family, business, the America First Movement, MAGA, and our Nation as a whole. I am PROUD to hold this once respected ""rag"" responsible, as we are doing with the Fake News Networks such as our successful litigation against George Slopadopoulos/ABC/Disney, and 60 Minutes/CBS/Paramount, who knew that they were falsely ""smearing"" me through a highly sophisticated system of document and visual alteration, which was, in effect, a malicious form of defamation, and thus, settled for record amounts. They practiced this longterm INTENT and pattern of abuse, which is both unacceptable and illegal. The New York Times has been allowed to freely lie, smear, and defame me for far too long, and that stops, NOW! The suit is being brought in the Great State of Florida. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN!",https://truthsocial.com/@realDonaldTrump/posts/115211918198289404,2025-09-16 03:45:57.273000+00:00,46076,20:45,2025-09-15,180.0,False
115214478126238663,2025-09-16,10:36,washingtonexaminer.com/opinion,https://truthsocial.com/@realDonaldTrump/posts/115214478126238663,2025-09-16 14:36:58.674000+00:00,19399,07:36,2025-09-16,180.0,False
115214577541944786,2025-09-16,11:02,,https://truthsocial.com/@realDonaldTrump/posts/115214577541944786,2025-09-16 15:02:15.637000+00:00,38354,08:02,2025-09-16,180.0,False
115214580045356929,2025-09-16,11:02,,https://truthsocial.com/@realDonaldTrump/posts/115214580045356929,2025-09-16 15:02:53.836000+00:00,40833,08:02,2025-09-16,180.0,False
115214582518088835,2025-09-16,11:03,,https://truthsocial.com/@realDonaldTrump/posts/115214582518088835,2025-09-16 15:03:31.567000+00:00,33923,08:03,2025-09-16,180.0,False
115214584219779071,2025-09-16,11:03,,https://truthsocial.com/@realDonaldTrump/posts/115214584219779071,2025-09-16 15:03:57.533000+00:00,16383,08:03,2025-09-16,180.0,False
115214585467068233,2025-09-16,11:04,,https://truthsocial.com/@realDonaldTrump/posts/115214585467068233,2025-09-16 15:04:16.565000+00:00,24393,08:04,2025-09-16,180.0,False
115214597844491830,2025-09-16,11:07,,https://truthsocial.com/@realDonaldTrump/posts/115214597844491830,2025-09-16 15:07:25.429000+00:00,56886,08:07,2025-09-16,180.0,False
115214598414061328,2025-09-16,11:07,,https://truthsocial.com/@realDonaldTrump/posts/115214598414061328,2025-09-16 15:07:34.120000+00:00,53008,08:07,2025-09-16,180.0,False
115214606264586178,2025-09-16,11:09,"""Trump's Man With a Plan in Hollywood Opens Up"" hollywoodreporter.com/business",https://truthsocial.com/@realDonaldTrump/posts/115214606264586178,2025-09-16 15:09:33.910000+00:00,20418,08:09,2025-09-16,180.0,False
115214607525114929,2025-09-16,11:09,foxnews.com/sports/aaron-boone,https://truthsocial.com/@realDonaldTrump/posts/115214607525114929,2025-09-16 15:09:53.144000+00:00,29745,08:09,2025-09-16,180.0,False
115214608738832255,2025-09-16,11:10,dailywire.com/news/noem-cuts-3,https://truthsocial.com/@realDonaldTrump/posts/115214608738832255,2025-09-16 15:10:11.664000+00:00,20351,08:10,2025-09-16,180.0,False
115214611639210222,2025-09-16,11:10,wsj.com/opinion/europe-has-bee,https://truthsocial.com/@realDonaldTrump/posts/115214611639210222,2025-09-16 15:10:55.920000+00:00,37102,08:10,2025-09-16,180.0,False
115214614413271972,2025-09-16,11:11,abcnews.go.com/US/michigan-jud,https://truthsocial.com/@realDonaldTrump/posts/115214614413271972,2025-09-16 15:11:38.249000+00:00,25508,08:11,2025-09-16,180.0,False
115214615299175020,2025-09-16,11:11,breitbart.com/politics/2025/09,https://truthsocial.com/@realDonaldTrump/posts/115214615299175020,2025-09-16 15:11:51.767000+00:00,12908,08:11,2025-09-16,180.0,False
115214617777906734,2025-09-16,11:12,axios.com/2025/08/08/trump-pri,https://truthsocial.com/@realDonaldTrump/posts/115214617777906734,2025-09-16 15:12:29.589000+00:00,42030,08:12,2025-09-16,180.0,False
115214618898446937,2025-09-16,11:12,dailymail.co.uk/news/article-1,https://truthsocial.com/@realDonaldTrump/posts/115214618898446937,2025-09-16 15:12:46.687000+00:00,47705,08:12,2025-09-16,180.0,False
115214622379049350,2025-09-16,11:13,wsj.com/economy/trade/tariff-c,https://truthsocial.com/@realDonaldTrump/posts/115214622379049350,2025-09-16 15:13:39.797000+00:00,33158,08:13,2025-09-16,180.0,False
115214623618057198,2025-09-16,11:13,justthenews.com/accountability,https://truthsocial.com/@realDonaldTrump/posts/115214623618057198,2025-09-16 15:13:58.703000+00:00,17390,08:13,2025-09-16,180.0,False
115214626521204183,2025-09-16,11:14,timesofisrael.com/liveblog_ent,https://truthsocial.com/@realDonaldTrump/posts/115214626521204183,2025-09-16 15:14:43.001000+00:00,50647,08:14,2025-09-16,180.0,False
